author,user_profile_link,text,timestamp,likes,date,time
Azzeddine El Gabadde,https://web.facebook.com/profile.php?id=100085108084856&comment_id=Y29tbWVudDo3MzY0NDU0NjQ5NTcyMDFfODUyMjk0NjQ5MzI5NTAw&__tn__=R-R,تازة ايضا,Friday 8 September 2023 at 23:49,0,08 September 2023,23:49
Sķ Şăîd,https://web.facebook.com/profile.php?id=100042639696227&comment_id=Y29tbWVudDo3MzY0NDU0NjQ5NTcyMDFfMjE3OTgyNjc3NjM4MjMx&__tn__=R-R,ربي يستر أن شاء الله,Friday 8 September 2023 at 23:55,2,08 September 2023,23:55
ابو اشرف الودادي,https://web.facebook.com/profile.php?id=100038490062866&comment_id=Y29tbWVudDo3MzY0NDU0NjQ5NTcyMDFfNjEzMzExNDgxMDE2Njkz&__tn__=R-R,ياربي تلطف من عندوا,Friday 8 September 2023 at 23:37,9,08 September 2023,23:37
Nour Hmidat,https://web.facebook.com/nour.hmidat.5?comment_id=Y29tbWVudDo3MzY0NDU0NjQ5NTcyMDFfMTQ5NTAzNzc4Nzk3NDI4MQ%3D%3D&__tn__=R-R,لطفك يارب,Friday 8 September 2023 at 23:44,2,08 September 2023,23:44
عشيراك اعشيرتي,https://web.facebook.com/bowari.khadija?comment_id=Y29tbWVudDo3MzY0NDU0NjQ5NTcyMDFfMTUxMjEwMDI4NjIyODY3Mw%3D%3D&__tn__=R-R,كلميم صحراء,Friday 8 September 2023 at 23:41,0,08 September 2023,23:41
Mohammed Kossouri,https://web.facebook.com/mohammed.kossouri.1?comment_id=Y29tbWVudDo3MzY0NDU0NjQ5NTcyMDFfMTY5Nzk4NDUxMDcxNTg3Nw%3D%3D&__tn__=R-R,اللهم إنا نسألك السلامة,Friday 8 September 2023 at 23:49,0,08 September 2023,23:49
حمزه حمزه,https://web.facebook.com/imad.abderrahmane.73?comment_id=Y29tbWVudDo3MzY0NDU0NjQ5NTcyMDFfMjQ2NTgyMzc5MzYxNjYzNQ%3D%3D&__tn__=R-R,ربي يستر,Friday 8 September 2023 at 23:50,0,08 September 2023,23:50
Nor Eddin Cc,https://web.facebook.com/profile.php?id=100087958954986&comment_id=Y29tbWVudDo3MzY0NDU0NjQ5NTcyMDFfMTQ0NTk5MjY4NTk3NDEzNQ%3D%3D&__tn__=R-R,الدار البيضاء العراقي,Friday 8 September 2023 at 23:38,8,08 September 2023,23:38
Alae Alae,https://web.facebook.com/profile.php?id=100081058787402&comment_id=Y29tbWVudDo3MzY0NDU0NjQ5NTcyMDFfOTk2MTk5MjI4MDkzNTMw&__tn__=R-R,من الزمامرة حسيت بيه,Friday 8 September 2023 at 23:56,0,08 September 2023,23:56
التائبة العابدة,https://web.facebook.com/profile.php?id=100082695438430&comment_id=Y29tbWVudDo3MzY0NDU0NjQ5NTcyMDFfMjYzMDY5OTY2Njc5ODM4&__tn__=R-R,المغرب كامل,Friday 8 September 2023 at 23:38,4,08 September 2023,23:38
